Article: Text0529.txt, Predicted Tone: positive
Article: Text0485.txt, Predicted Tone: positive
Article: Text0076.txt, Predicted Tone: neutral
Article: Text0124.txt, Predicted Tone: positive
Article: Text0376.txt, Predicted Tone: positive
Article: Text0825.txt, Predicted Tone: positive
Article: Text0598.txt, Predicted Tone: positive
Article: Text0247.txt, Predicted Tone: positive
Article: Text0989.txt, Predicted Tone: positive
Article: Text0383.txt, Predicted Tone: positive
Article: Text0843.txt, Predicted Tone: positive
Article: Text0252.txt, Predicted Tone: positive
Article: Text0481.txt, Predicted Tone: positive
Article: Text0591.txt, Predicted Tone: positive
Article: Text0392.txt, Predicted Tone: positive
Article: Text0146.txt, Predicted Tone: neutral
Article: Text0347.txt, Predicted Tone: positive
Article: Text0199.txt, Predicted Tone: positive
Article: Text0759.txt, Predicted Tone: positive
Article: Text0051.txt, Predicted Tone: positive
Article: Text0201.txt, Predicted Tone: positive
Article: Text0269.txt, Predicted Tone: positive
Article: Text0106.txt, Predicted Tone: positive
Article: Text0142.txt, Predicted Tone: positive
Article: Text0043.txt, Predicted Tone: positive
Article: Text0010.txt, Predicted Tone: positive
Article: Text0214.txt, Predicted Tone: positive
Article: Text0075.txt, Predicted Tone: positive
Article: Text0137.txt, Predicted Tone: positive
Article: Text0841.txt, Predicted Tone: positive
Article: Text0461.txt, Predicted Tone: neutral
Article: Text0874.txt, Predicted Tone: positive
Article: Text0851.txt, Predicted Tone: positive
Article: Text0626.txt, Predicted Tone: positive
Article: Text0863.txt, Predicted Tone: positive
Article: Text0731.txt, Predicted Tone: positive
Article: Text0313.txt, Predicted Tone: positive
Article: Text0135.txt, Predicted Tone: positive
Article: Text0061.txt, Predicted Tone: positive
Article: Text0677.txt, Predicted Tone: positive
Article: Text0566.txt, Predicted Tone: positive
Article: Text0750.txt, Predicted Tone: positive
Article: Text1000.txt, Predicted Tone: positive
Article: Text0582.txt, Predicted Tone: positive
Article: Text0784.txt, Predicted Tone: positive
Article: Text0148.txt, Predicted Tone: positive
Article: Text0117.txt, Predicted Tone: positive
Article: Text0788.txt, Predicted Tone: positive
Article: Text0616.txt, Predicted Tone: positive
Article: Text0936.txt, Predicted Tone: positive
Article: Text0524.txt, Predicted Tone: positive
Article: Text0715.txt, Predicted Tone: positive
Article: Text0587.txt, Predicted Tone: positive
Article: Text0484.txt, Predicted Tone: positive
Article: Text0456.txt, Predicted Tone: positive
Article: Text0935.txt, Predicted Tone: positive
Article: Text0947.txt, Predicted Tone: positive
Article: Text0048.txt, Predicted Tone: positive
Article: Text0562.txt, Predicted Tone: positive
Article: Text0364.txt, Predicted Tone: positive
Article: Text0663.txt, Predicted Tone: positive
Article: Text0460.txt, Predicted Tone: positive
Article: Text0632.txt, Predicted Tone: positive
Article: Text0441.txt, Predicted Tone: positive
Article: Text0118.txt, Predicted Tone: positive
Article: Text0031.txt, Predicted Tone: positive
Article: Text0307.txt, Predicted Tone: positive
Article: Text0271.txt, Predicted Tone: neutral
Article: Text0455.txt, Predicted Tone: positive
Article: Text0423.txt, Predicted Tone: positive
Article: Text0309.txt, Predicted Tone: positive
Article: Text0603.txt, Predicted Tone: positive
Article: Text0131.txt, Predicted Tone: positive
Article: Text0327.txt, Predicted Tone: positive
Article: Text0934.txt, Predicted Tone: positive
Article: Text0533.txt, Predicted Tone: positive
Article: Text0023.txt, Predicted Tone: positive
Article: Text0123.txt, Predicted Tone: positive
Article: Text0063.txt, Predicted Tone: positive
Article: Text0094.txt, Predicted Tone: positive
Article: Text0496.txt, Predicted Tone: positive
Article: Text0781.txt, Predicted Tone: positive
Article: Text0647.txt, Predicted Tone: positive
Article: Text0773.txt, Predicted Tone: positive
Article: Text0703.txt, Predicted Tone: positive
Article: Text0273.txt, Predicted Tone: positive
Article: Text0573.txt, Predicted Tone: neutral
Article: Text0805.txt, Predicted Tone: positive
Article: Text0263.txt, Predicted Tone: positive
Article: Text0365.txt, Predicted Tone: neutral
Article: Text0427.txt, Predicted Tone: positive
Article: Text0658.txt, Predicted Tone: positive
Article: Text0881.txt, Predicted Tone: positive
Article: Text0466.txt, Predicted Tone: positive
Article: Text0011.txt, Predicted Tone: positive
Article: Text0836.txt, Predicted Tone: positive
Article: Text0303.txt, Predicted Tone: positive
Article: Text0813.txt, Predicted Tone: positive
Article: Text0478.txt, Predicted Tone: positive
Article: Text0542.txt, Predicted Tone: positive
Article: Text0408.txt, Predicted Tone: positive
Article: Text0379.txt, Predicted Tone: neutral
Article: Text0370.txt, Predicted Tone: positive
Article: Text0733.txt, Predicted Tone: positive
Article: Text0710.txt, Predicted Tone: positive
Article: Text0685.txt, Predicted Tone: positive
Article: Text0975.txt, Predicted Tone: positive
Article: Text0931.txt, Predicted Tone: positive
Article: Text0276.txt, Predicted Tone: positive
Article: Text0689.txt, Predicted Tone: neutral
Article: Text0988.txt, Predicted Tone: positive
Article: Text0746.txt, Predicted Tone: positive
Article: Text0232.txt, Predicted Tone: positive
Article: Text0956.txt, Predicted Tone: positive
Article: Text0985.txt, Predicted Tone: positive
Article: Text0876.txt, Predicted Tone: positive
Article: Text0055.txt, Predicted Tone: positive
Article: Text0567.txt, Predicted Tone: positive
Article: Text0361.txt, Predicted Tone: positive
Article: Text0763.txt, Predicted Tone: positive
Article: Text0134.txt, Predicted Tone: positive
Article: Text0795.txt, Predicted Tone: positive
Article: Text0028.txt, Predicted Tone: positive
Article: Text0168.txt, Predicted Tone: neutral
Article: Text0549.txt, Predicted Tone: positive
Article: Text0705.txt, Predicted Tone: neutral
Article: Text0237.txt, Predicted Tone: positive
Article: Text0449.txt, Predicted Tone: positive
Article: Text0360.txt, Predicted Tone: positive
Article: Text0511.txt, Predicted Tone: positive
Article: Text0166.txt, Predicted Tone: positive
Article: Text0688.txt, Predicted Tone: positive
Article: Text0816.txt, Predicted Tone: positive
Article: Text0248.txt, Predicted Tone: positive
Article: Text0522.txt, Predicted Tone: positive
Article: Text0019.txt, Predicted Tone: positive
Article: Text0917.txt, Predicted Tone: positive
Article: Text0070.txt, Predicted Tone: positive
Article: Text0980.txt, Predicted Tone: positive
Article: Text0702.txt, Predicted Tone: positive
Article: Text0686.txt, Predicted Tone: positive
Article: Text0644.txt, Predicted Tone: positive
Article: Text0871.txt, Predicted Tone: positive
Article: Text0993.txt, Predicted Tone: positive
Article: Text0414.txt, Predicted Tone: positive
Article: Text0858.txt, Predicted Tone: positive
Article: Text0659.txt, Predicted Tone: neutral
Article: Text0181.txt, Predicted Tone: positive
Article: Text0711.txt, Predicted Tone: positive
Article: Text0791.txt, Predicted Tone: positive
Article: Text0119.txt, Predicted Tone: neutral
Article: Text0969.txt, Predicted Tone: positive
Article: Text0885.txt, Predicted Tone: positive
Article: Text0883.txt, Predicted Tone: positive
Article: Text0504.txt, Predicted Tone: positive
Article: Text0474.txt, Predicted Tone: positive
Article: Text0601.txt, Predicted Tone: positive
Article: Text0039.txt, Predicted Tone: positive
Article: Text0776.txt, Predicted Tone: positive
Article: Text0834.txt, Predicted Tone: positive
Article: Text0490.txt, Predicted Tone: positive
Article: Text0510.txt, Predicted Tone: positive
Article: Text0898.txt, Predicted Tone: positive
Article: Text0345.txt, Predicted Tone: positive
Article: Text0258.txt, Predicted Tone: positive
Article: Text0366.txt, Predicted Tone: positive
Article: Text0574.txt, Predicted Tone: positive
Article: Text0059.txt, Predicted Tone: positive
Article: Text0177.txt, Predicted Tone: positive
Article: Text0491.txt, Predicted Tone: positive
Article: Text0807.txt, Predicted Tone: positive
Article: Text0949.txt, Predicted Tone: positive
Article: Text0285.txt, Predicted Tone: positive
Article: Text0210.txt, Predicted Tone: positive
Article: Text0662.txt, Predicted Tone: positive
Article: Text0384.txt, Predicted Tone: positive
Article: Text0254.txt, Predicted Tone: positive
Article: Text0005.txt, Predicted Tone: positive
Article: Text0599.txt, Predicted Tone: positive
Article: Text0298.txt, Predicted Tone: positive
Article: Text0387.txt, Predicted Tone: positive
Article: Text0308.txt, Predicted Tone: positive
Article: Text0782.txt, Predicted Tone: neutral
Article: Text0294.txt, Predicted Tone: positive
Article: Text0418.txt, Predicted Tone: positive
Article: Text0008.txt, Predicted Tone: positive
Article: Text0163.txt, Predicted Tone: positive
Article: Text0277.txt, Predicted Tone: positive
Article: Text0223.txt, Predicted Tone: positive
Article: Text0318.txt, Predicted Tone: positive
Article: Text0749.txt, Predicted Tone: positive
Article: Text0512.txt, Predicted Tone: positive
Article: Text0613.txt, Predicted Tone: positive
Article: Text0487.txt, Predicted Tone: positive
Article: Text0537.txt, Predicted Tone: positive
Article: Text0625.txt, Predicted Tone: positive
Article: Text0170.txt, Predicted Tone: positive
Article: Text0172.txt, Predicted Tone: positive
Article: Text0756.txt, Predicted Tone: positive
Article: Text0483.txt, Predicted Tone: positive
Article: Text0040.txt, Predicted Tone: positive
Article: Text0924.txt, Predicted Tone: positive
Article: Text0884.txt, Predicted Tone: positive
Article: Text0929.txt, Predicted Tone: positive
Article: Text0029.txt, Predicted Tone: neutral
Article: Text0899.txt, Predicted Tone: positive
Article: Text0994.txt, Predicted Tone: positive
Article: Text0462.txt, Predicted Tone: positive
Article: Text0840.txt, Predicted Tone: positive
Article: Text0672.txt, Predicted Tone: positive
Article: Text0139.txt, Predicted Tone: positive
Article: Text0638.txt, Predicted Tone: positive
Article: Text0821.txt, Predicted Tone: positive
Article: Text0457.txt, Predicted Tone: positive
Article: Text0288.txt, Predicted Tone: positive
Article: Text0948.txt, Predicted Tone: positive
Article: Text0642.txt, Predicted Tone: positive
Article: Text0340.txt, Predicted Tone: positive
Article: Text0422.txt, Predicted Tone: positive
Article: Text0428.txt, Predicted Tone: positive
Article: Text0436.txt, Predicted Tone: positive
Article: Text0761.txt, Predicted Tone: positive
Article: Text0193.txt, Predicted Tone: positive
Article: Text0114.txt, Predicted Tone: positive
Article: Text0624.txt, Predicted Tone: positive
Article: Text0818.txt, Predicted Tone: positive
Article: Text0900.txt, Predicted Tone: positive
Article: Text0357.txt, Predicted Tone: positive
Article: Text0778.txt, Predicted Tone: positive
Article: Text0089.txt, Predicted Tone: positive
Article: Text0082.txt, Predicted Tone: positive
Article: Text0362.txt, Predicted Tone: positive
Article: Text0328.txt, Predicted Tone: positive
Article: Text0343.txt, Predicted Tone: positive
Article: Text0499.txt, Predicted Tone: positive
Article: Text0208.txt, Predicted Tone: positive
Article: Text0777.txt, Predicted Tone: positive
Article: Text0639.txt, Predicted Tone: positive
Article: Text0648.txt, Predicted Tone: positive
Article: Text0798.txt, Predicted Tone: positive
Article: Text0738.txt, Predicted Tone: positive
Article: Text0584.txt, Predicted Tone: positive
Article: Text0560.txt, Predicted Tone: positive
Article: Text0346.txt, Predicted Tone: positive
Article: Text0111.txt, Predicted Tone: positive
Article: Text0563.txt, Predicted Tone: positive
Article: Text0349.txt, Predicted Tone: positive
Article: Text0292.txt, Predicted Tone: positive
Article: Text0382.txt, Predicted Tone: positive
Article: Text0047.txt, Predicted Tone: positive
Article: Text0755.txt, Predicted Tone: neutral
Article: Text0399.txt, Predicted Tone: positive
Article: Text0943.txt, Predicted Tone: positive
Article: Text0559.txt, Predicted Tone: positive
Article: Text0174.txt, Predicted Tone: positive
Article: Text0355.txt, Predicted Tone: positive
Article: Text0506.txt, Predicted Tone: positive
Article: Text0604.txt, Predicted Tone: positive
Article: Text0583.txt, Predicted Tone: positive
Article: Text0272.txt, Predicted Tone: positive
Article: Text0527.txt, Predicted Tone: positive
Article: Text0649.txt, Predicted Tone: positive
Article: Text0049.txt, Predicted Tone: positive
Article: Text0700.txt, Predicted Tone: positive
Article: Text0914.txt, Predicted Tone: positive
Article: Text0200.txt, Predicted Tone: positive
Article: Text0654.txt, Predicted Tone: positive
Article: Text0130.txt, Predicted Tone: positive
Article: Text0622.txt, Predicted Tone: negative
Article: Text0867.txt, Predicted Tone: positive
Article: Text0709.txt, Predicted Tone: positive
Article: Text0126.txt, Predicted Tone: negative
Article: Text0617.txt, Predicted Tone: positive
Article: Text0853.txt, Predicted Tone: positive
Article: Text0939.txt, Predicted Tone: positive
Article: Text0864.txt, Predicted Tone: positive
Article: Text0420.txt, Predicted Tone: positive
Article: Text0822.txt, Predicted Tone: positive
Article: Text0204.txt, Predicted Tone: positive
Article: Text0667.txt, Predicted Tone: positive
Article: Text0941.txt, Predicted Tone: positive
Article: Text0104.txt, Predicted Tone: positive
Article: Text0036.txt, Predicted Tone: positive
Article: Text0682.txt, Predicted Tone: positive
Article: Text0245.txt, Predicted Tone: positive
Article: Text0878.txt, Predicted Tone: positive
Article: Text0475.txt, Predicted Tone: positive
Article: Text0744.txt, Predicted Tone: positive
Article: Text0870.txt, Predicted Tone: positive
Article: Text0136.txt, Predicted Tone: positive
Article: Text0218.txt, Predicted Tone: positive
Article: Text0564.txt, Predicted Tone: positive
Article: Text0188.txt, Predicted Tone: positive
Article: Text0202.txt, Predicted Tone: neutral
Article: Text0001.txt, Predicted Tone: positive
Article: Text0439.txt, Predicted Tone: positive
Article: Text0845.txt, Predicted Tone: positive
Article: Text0065.txt, Predicted Tone: neutral
Article: Text0727.txt, Predicted Tone: positive
Article: Text0191.txt, Predicted Tone: positive
Article: Text0608.txt, Predicted Tone: positive
Article: Text0367.txt, Predicted Tone: positive
Article: Text0960.txt, Predicted Tone: positive
Article: Text0050.txt, Predicted Tone: positive
Article: Text0044.txt, Predicted Tone: neutral
Article: Text0167.txt, Predicted Tone: positive
Article: Text0319.txt, Predicted Tone: positive
Article: Text0251.txt, Predicted Tone: positive
Article: Text0502.txt, Predicted Tone: positive
Article: Text0212.txt, Predicted Tone: negative
Article: Text0683.txt, Predicted Tone: positive
Article: Text0096.txt, Predicted Tone: positive
Article: Text0025.txt, Predicted Tone: positive
Article: Text0906.txt, Predicted Tone: positive
Article: Text0799.txt, Predicted Tone: positive
Article: Text0316.txt, Predicted Tone: positive
Article: Text0552.txt, Predicted Tone: positive
Article: Text0041.txt, Predicted Tone: positive
Article: Text0274.txt, Predicted Tone: positive
Article: Text0042.txt, Predicted Tone: positive
Article: Text0158.txt, Predicted Tone: positive
Article: Text0739.txt, Predicted Tone: positive
Article: Text0868.txt, Predicted Tone: positive
Article: Text0983.txt, Predicted Tone: positive
Article: Text0824.txt, Predicted Tone: positive
Article: Text0550.txt, Predicted Tone: positive
Article: Text0024.txt, Predicted Tone: positive
Article: Text0635.txt, Predicted Tone: positive
Article: Text0774.txt, Predicted Tone: positive
Article: Text0810.txt, Predicted Tone: positive
Article: Text0424.txt, Predicted Tone: positive
Article: Text0760.txt, Predicted Tone: positive
Article: Text0982.txt, Predicted Tone: neutral
Article: Text0620.txt, Predicted Tone: positive
Article: Text0238.txt, Predicted Tone: positive
Article: Text0416.txt, Predicted Tone: positive
Article: Text0923.txt, Predicted Tone: positive
Article: Text0145.txt, Predicted Tone: neutral
Article: Text0282.txt, Predicted Tone: positive
Article: Text0966.txt, Predicted Tone: positive
Article: Text0753.txt, Predicted Tone: positive
Article: Text0348.txt, Predicted Tone: positive
Article: Text0631.txt, Predicted Tone: positive
Article: Text0393.txt, Predicted Tone: positive
Article: Text0290.txt, Predicted Tone: positive
Article: Text0607.txt, Predicted Tone: positive
Article: Text0597.txt, Predicted Tone: neutral
Article: Text0905.txt, Predicted Tone: positive
Article: Text0920.txt, Predicted Tone: positive
Article: Text0284.txt, Predicted Tone: positive
Article: Text0916.txt, Predicted Tone: positive
Article: Text0003.txt, Predicted Tone: positive
Article: Text0353.txt, Predicted Tone: positive
Article: Text0052.txt, Predicted Tone: positive
Article: Text0669.txt, Predicted Tone: positive
Article: Text0976.txt, Predicted Tone: positive
Article: Text0115.txt, Predicted Tone: positive
Article: Text0332.txt, Predicted Tone: positive
Article: Text0009.txt, Predicted Tone: positive
Article: Text0611.txt, Predicted Tone: positive
Article: Text0415.txt, Predicted Tone: positive
Article: Text0228.txt, Predicted Tone: positive
Article: Text0751.txt, Predicted Tone: positive
Article: Text0713.txt, Predicted Tone: positive
Article: Text0394.txt, Predicted Tone: positive
Article: Text0470.txt, Predicted Tone: positive
Article: Text0278.txt, Predicted Tone: positive
Article: Text0720.txt, Predicted Tone: neutral
Article: Text0719.txt, Predicted Tone: positive
Article: Text0426.txt, Predicted Tone: positive
Article: Text0855.txt, Predicted Tone: positive
Article: Text0842.txt, Predicted Tone: positive
Article: Text0409.txt, Predicted Tone: positive
Article: Text0159.txt, Predicted Tone: positive
Article: Text0128.txt, Predicted Tone: positive
Article: Text0932.txt, Predicted Tone: positive
Article: Text0157.txt, Predicted Tone: positive
Article: Text0209.txt, Predicted Tone: positive
Article: Text0666.txt, Predicted Tone: positive
Article: Text0060.txt, Predicted Tone: positive
Article: Text0434.txt, Predicted Tone: positive
Article: Text0270.txt, Predicted Tone: neutral
Article: Text0531.txt, Predicted Tone: positive
Article: Text0433.txt, Predicted Tone: neutral
Article: Text0162.txt, Predicted Tone: positive
Article: Text0933.txt, Predicted Tone: positive
Article: Text0860.txt, Predicted Tone: positive
Article: Text0561.txt, Predicted Tone: positive
Article: Text0125.txt, Predicted Tone: positive
Article: Text0301.txt, Predicted Tone: positive
Article: Text0636.txt, Predicted Tone: positive
Article: Text0668.txt, Predicted Tone: positive
Article: Text0585.txt, Predicted Tone: positive
Article: Text0748.txt, Predicted Tone: positive
Article: Text0230.txt, Predicted Tone: positive
Article: Text0445.txt, Predicted Tone: positive
Article: Text0849.txt, Predicted Tone: positive
Article: Text0848.txt, Predicted Tone: positive
Article: Text0497.txt, Predicted Tone: positive
Article: Text0958.txt, Predicted Tone: positive
Article: Text0395.txt, Predicted Tone: positive
Article: Text0995.txt, Predicted Tone: positive
Article: Text0407.txt, Predicted Tone: positive
Article: Text0676.txt, Predicted Tone: positive
Article: Text0067.txt, Predicted Tone: positive
Article: Text0095.txt, Predicted Tone: positive
Article: Text0421.txt, Predicted Tone: positive
Article: Text0580.txt, Predicted Tone: positive
Article: Text0695.txt, Predicted Tone: positive
Article: Text0846.txt, Predicted Tone: positive
Article: Text0391.txt, Predicted Tone: positive
Article: Text0804.txt, Predicted Tone: positive
Article: Text0437.txt, Predicted Tone: positive
Article: Text0894.txt, Predicted Tone: positive
Article: Text0240.txt, Predicted Tone: positive
Article: Text0385.txt, Predicted Tone: positive
Article: Text0724.txt, Predicted Tone: positive
Article: Text0262.txt, Predicted Tone: positive
Article: Text0396.txt, Predicted Tone: positive
Article: Text0665.txt, Predicted Tone: positive
Article: Text0451.txt, Predicted Tone: negative
Article: Text0754.txt, Predicted Tone: positive
Article: Text0234.txt, Predicted Tone: positive
Article: Text0694.txt, Predicted Tone: positive
Article: Text0066.txt, Predicted Tone: neutral
Article: Text0054.txt, Predicted Tone: positive
Article: Text0372.txt, Predicted Tone: positive
Article: Text0459.txt, Predicted Tone: positive
Article: Text0147.txt, Predicted Tone: positive
Article: Text0264.txt, Predicted Tone: positive
Article: Text0107.txt, Predicted Tone: positive
Article: Text0021.txt, Predicted Tone: positive
Article: Text0765.txt, Predicted Tone: positive
Article: Text0110.txt, Predicted Tone: positive
Article: Text0267.txt, Predicted Tone: positive
Article: Text0775.txt, Predicted Tone: positive
Article: Text0888.txt, Predicted Tone: positive
Article: Text0523.txt, Predicted Tone: positive
Article: Text0371.txt, Predicted Tone: positive
Article: Text0518.txt, Predicted Tone: positive
Article: Text0419.txt, Predicted Tone: positive
Article: Text0536.txt, Predicted Tone: positive
Article: Text0132.txt, Predicted Tone: positive
Article: Text0718.txt, Predicted Tone: neutral
Article: Text0486.txt, Predicted Tone: positive
Article: Text0590.txt, Predicted Tone: positive
Article: Text0259.txt, Predicted Tone: positive
Article: Text0838.txt, Predicted Tone: positive
Article: Text0912.txt, Predicted Tone: positive
Article: Text0535.txt, Predicted Tone: positive
Article: Text0242.txt, Predicted Tone: positive
Article: Text0083.txt, Predicted Tone: positive
Article: Text0469.txt, Predicted Tone: positive
Article: Text0068.txt, Predicted Tone: positive
Article: Text0732.txt, Predicted Tone: positive
Article: Text0942.txt, Predicted Tone: positive
Article: Text0664.txt, Predicted Tone: positive
Article: Text0152.txt, Predicted Tone: positive
Article: Text0660.txt, Predicted Tone: positive
Article: Text0963.txt, Predicted Tone: positive
Article: Text0494.txt, Predicted Tone: positive
Article: Text0331.txt, Predicted Tone: positive
Article: Text0831.txt, Predicted Tone: positive
Article: Text0768.txt, Predicted Tone: positive
Article: Text0377.txt, Predicted Tone: positive
Article: Text0974.txt, Predicted Tone: positive
Article: Text0069.txt, Predicted Tone: positive
Article: Text0758.txt, Predicted Tone: positive
Article: Text0962.txt, Predicted Tone: positive
Article: Text0517.txt, Predicted Tone: positive
Article: Text0764.txt, Predicted Tone: positive
Article: Text0198.txt, Predicted Tone: neutral
Article: Text0609.txt, Predicted Tone: positive
Article: Text0100.txt, Predicted Tone: positive
Article: Text0745.txt, Predicted Tone: positive
Article: Text0243.txt, Predicted Tone: positive
Article: Text0295.txt, Predicted Tone: positive
Article: Text0446.txt, Predicted Tone: positive
Article: Text0657.txt, Predicted Tone: positive
Article: Text0944.txt, Predicted Tone: positive
Article: Text0454.txt, Predicted Tone: positive
Article: Text0261.txt, Predicted Tone: positive
Article: Text0488.txt, Predicted Tone: positive
Article: Text0002.txt, Predicted Tone: positive
Article: Text0339.txt, Predicted Tone: positive
Article: Text0038.txt, Predicted Tone: positive
Article: Text0032.txt, Predicted Tone: neutral
Article: Text0520.txt, Predicted Tone: negative
Article: Text0098.txt, Predicted Tone: positive
Article: Text0575.txt, Predicted Tone: neutral
Article: Text0477.txt, Predicted Tone: positive
Article: Text0220.txt, Predicted Tone: positive
Article: Text0447.txt, Predicted Tone: positive
Article: Text0381.txt, Predicted Tone: positive
Article: Text0970.txt, Predicted Tone: positive
Article: Text0656.txt, Predicted Tone: positive
Article: Text0221.txt, Predicted Tone: positive
Article: Text0546.txt, Predicted Tone: positive
Article: Text0979.txt, Predicted Tone: positive
Article: Text0129.txt, Predicted Tone: positive
Article: Text0952.txt, Predicted Tone: neutral
Article: Text0113.txt, Predicted Tone: positive
Article: Text0182.txt, Predicted Tone: positive
Article: Text0930.txt, Predicted Tone: positive
Article: Text0786.txt, Predicted Tone: positive
Article: Text0556.txt, Predicted Tone: negative
Article: Text0953.txt, Predicted Tone: positive
Article: Text0861.txt, Predicted Tone: positive
Article: Text0957.txt, Predicted Tone: positive
